T1,T2,S1,S2,A_FT1,A_FT2,A_G,A_W,A_D,A_L,A_GP,A_GM,A_GD,A_P2PA,A_P2PB,A_Perc,A_PP,A_P3P,B_FT1,B_FT2,B_G,B_W,B_D,B_L,B_GP,B_GM,B_GD,B_P2PA,B_P2PB,B_Perc,B_PP,B_P3P
Andorra,Belgium,0,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Cyprus,Israel,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Wales,Bosnia & Herzegovina,0,0,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Croatia,Bulgaria,1,0,4,1,16,7,2,7,21,17,4,16,16,500,23,23,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Italy,Azerbaijan,2,1,18,14,83,45,20,18,128,77,51,110,56,663,124,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malta,Norway,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Gibraltar,Rep. of Ireland,0,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia,Scotland,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19
Serbia,Armenia,1,1,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hungary,Romania,1,1,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Poland,Germany,2,0,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Greece,Finland,1,1,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Faroe Islands,North. Ireland,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14
Albania,Denmark,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
France,Portugal,2,1,14,5,59,29,11,19,106,71,35,69,49,585,83,98,6,4,26,13,4,9,43,29,14,30,22,577,37,43
England,Estonia,1,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montenegro,Austria,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40
Moldova,Russia,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Ukraine,Macedonia,1,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belarus,Slovakia,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Spain,Luxembourg,4,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovenia,Lithuania,2,0,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Liechtenstein,Sweden,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Czech Republic,Kazakhstan,4,2,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,Iceland,0,2,10,3,50,27,11,12,86,48,38,65,35,650,84,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkey,Latvia,1,1,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Israel,Andorra,4,1,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,Bosnia & Herzegovina,1,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Cyprus,Wales,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Croatia,Azerbaijan,6,0,4,1,16,7,2,7,21,17,4,16,16,500,23,23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malta,Italy,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Norway,Bulgaria,2,1,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Rep. of Ireland,Germany,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,16,106,66,20,20,224,121,103,152,60,717,179,218
France,Armenia,3,0,14,5,59,29,11,19,106,71,35,69,49,585,83,98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gibraltar,Georgia,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scotland,Poland,2,2,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
San Marino,Switzerland,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Faroe Islands,Hungary,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
Romania,Finland,2,0,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,North. Ireland,0,2,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14
Denmark,Portugal,0,1,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Serbia,Albania,0,3,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,Estonia,0,1,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,Turkey,4,0,20,20,104,71,16,17,221,102,119,158,50,760,185,229,2,-3,10,5,1,4,20,17,3,11,9,550,15,16
Mexico,Netherlands,3,2,15,6,53,14,14,25,57,92,-35,42,64,396,50,56,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Belgium,Iceland,3,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,Argentina,1,2,4,1,16,7,2,7,21,17,4,16,16,500,23,23,16,11,77,43,13,21,131,84,47,99,55,643,118,142
Georgia,Poland,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Gibraltar,Germany,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Scotland,Rep. of Ireland,1,0,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,Faroe Islands,0,1,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hungary,Finland,1,0,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
North. Ireland,Romania,0,2,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Armenia,Portugal,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Denmark,Serbia,3,1,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
France,Albania,1,1,14,5,59,29,11,19,106,71,35,69,49,585,83,98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,Luxembourg,3,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Slovenia,England,1,3,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Estonia,San Marino,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Russia,Austria,0,1,10,1,40,17,8,15,66,47,19,42,38,525,44,59,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40
Moldova,Liechtenstein,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Macedonia,Slovakia,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Belarus,Spain,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Switzerland,Lithuania,4,0,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montenegro,Sweden,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Iceland,Czech Republic,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Netherlands,Latvia,6,0,10,3,50,27,11,12,86,48,38,65,35,650,84,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Andorra,Cyprus,0,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wales,Belgium,0,0,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Azerbaijan,Norway,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Turkey,Kazakhstan,3,1,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosnia & Herzegovina,Israel,0,3,1,1,3,1,0,2,4,4,0,2,4,333,3,3,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Malta,Bulgaria,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Croatia,Italy,1,1,4,1,16,7,2,7,21,17,4,16,16,500,23,23,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Lithuania,Ukraine,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Finland,Slovakia,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Mexico,Belarus,2,3,15,6,53,14,14,25,57,92,-35,42,64,396,50,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Serbia,Greece,2,0,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Slovenia,Colombia,0,1,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,5,1,18,7,2,9,26,27,-1,16,20,444,22,23
Austria,Brazil,1,2,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,20,20,104,71,16,17,221,102,119,158,50,760,185,229
Jordan,Estonia,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Denmark,Romania,0,2,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Hungary,Russia,1,2,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Poland,Switzerland,2,2,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Germany,Spain,1,0,18,16,106,66,20,20,224,121,103,152,60,717,179,218,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Portugal,Argentina,1,0,6,4,26,13,4,9,43,29,14,30,22,577,37,43,16,11,77,43,13,21,131,84,47,99,55,643,118,142
Rep. of Ireland,United States,4,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
Italy,Albania,1,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scotland,England,1,3,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Sweden,France,0,1,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Qatar,Estonia,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,South Africa,1,0,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,3,-1,9,2,4,3,11,16,-5,8,10,444,10,10
Norway,Zambia,0,0,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,North Korea,1,1,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,2,-1,7,1,1,5,6,21,-15,3,11,214,3,4
Finland,Thailand,3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,Finland,3,0,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Uzbekistan,Azerbaijan,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Romania*,Poland,1,4,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Armenia,Luxembourg,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Japan,Latvia,3,0,5,5,17,4,4,9,14,22,-8,12,22,353,16,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
South Korea,Croatia,0,4,9,8,31,5,9,17,31,67,-36,19,43,306,24,24,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Liechtenstein,Azerbaijan,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,Kazakhstan,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Serbia,Cyprus,3,1,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belarus,Hungary,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
Slovenia,Bosnia & Herzegovina,0,3,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Ukraine,Norway,2,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Israel,Finland,2,1,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia,Albania,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Uruguay,Spain,1,3,12,2,51,20,12,19,80,71,9,52,50,510,57,72,14,10,59,29,12,18,92,66,26,70,48,593,86,99
Turkey,Czech Republic,0,2,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Macedonia,Denmark,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
North. Ireland,Malta,0,0,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,England,1,2,20,20,104,71,16,17,221,102,119,158,50,760,185,229,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Italy,Netherlands,1,1,18,14,83,45,20,18,128,77,51,110,56,663,124,155,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Switzerland,Greece,0,0,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,3,2,10,2,2,6,5,20,-15,6,14,300,8,8
Sweden,Argentina,2,3,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,16,11,77,43,13,21,131,84,47,99,55,643,118,142
Iceland,Russia,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Slovakia,Belgium,1,2,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Austria,Wales,1,2,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Scotland,Estonia,1,0,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rep. of Ireland,Poland,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Romania,Australia,3,2,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,4,3,13,2,3,8,11,26,-15,7,19,269,9,9
Germany,France,2,1,18,16,106,66,20,20,224,121,103,152,60,717,179,218,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Portugal,Ecuador,2,3,6,4,26,13,4,9,43,29,14,30,22,577,37,43,3,1,10,4,1,5,10,11,-1,9,11,450,13,13
Faroe Islands,Thailand*,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belarus,Jordan,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,Italy,2,2,20,20,104,71,16,17,221,102,119,158,50,760,185,229,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Israel,Portugal,3,3,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Bulgaria,Malta,6,0,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Iceland,Slovenia,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Serbia,Croatia,0,2,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Germany,Kazakhstan,3,0,18,16,106,66,20,20,224,121,103,152,60,717,179,218,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,Albania,0,1,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
